POINTID,SiteId,Lat,Long,FeatureTyp,Barrier,Reason,FishPass,LngCo,LngSD,LngCH,Lng_25Co,Lng_75Co,Lng_25CH,Lng_75CH,Lng_25SD,Lng_75SD,Lng_50Co,Lng_50CH,Lng_50SD
476,103-1073,47.10142,-123.6836,Culvert,Yes,Slope,33,0,0,0,799.292164,0,0,0,0,0,0,0,0
372,103-1191,47.16664,-123.63039,Culvert,Yes,WS Drop,0,0,0,0,373.692038,0,0,0,0,0,0,0,0
496,103-1231,47.09694,-123.55694,Culvert,Yes,Slope,67,0,0,0,842.324189,0,0,0,0,0,0,0,0
353,103-1258,47.18021,-123.51002,Culvert,Yes,WS Drop,0,0,0,0,182.014488,0,0,0,0,0,0,0,0
348,103-1260,47.18194,-123.51194,Culvert,Yes,WS Drop,33,205.346677,0,0,1437.426739,0,0,0,0,0,205.346677,0,0
303,103-1274,47.2129,-123.51512,Culvert,Yes,Slope,0,0,0,0,848.201584,0,0,0,0,0,0,0,0
284,103-1287,47.22777,-123.49111,Culvert,Yes,Slope,33,0,0,0,769.021352,0,0,0,0,0,0,0,0
111,103-1348,47.34169056,-123.8479703,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
115,103-1349,47.34106556,-123.839645,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
105,103-1350,47.34805556,-123.8316667,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
100,103-1352,47.35165528,-123.8301389,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
87,103-1354,47.36114222,-123.8234042,Culvert,Yes,WS Drop,33,0,0,0,0,0,0,0,0,0,0,0,0
75,103-1358,47.36847611,-123.82074,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
52,103-1359,47.37817,-123.8118861,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
53,103-1360,47.37811056,-123.8113408,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
48,103-1361,47.38401278,-123.8055786,Culvert,Yes,WS Drop,0,848.41498,0,0,2565.178002,0,0,0,0,0,632.444059,0,0
67,103-1362,47.37329972,-123.7889608,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
12,103-1364,47.4416775,-123.7570367,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
65,103-1366,47.37461472,-123.7743367,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
25,103-1376,47.41549139,-123.7493406,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
123,103-1380,47.33555972,-123.7290139,Culvert,Yes,WS Drop,33,0,0,0,0,0,0,0,0,0,0,0,0
109,103-1381,47.34652528,-123.7239278,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
45,103-1391,47.394825,-123.7184833,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
40,103-1392,47.39859583,-123.7140603,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
106,103-1398,47.35103047,-123.7028897,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
101,103-1399,47.35454417,-123.7039933,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
96,103-1400,47.36016972,-123.7093158,Culvert,Yes,WS Drop,0,0,0,0,1205.860974,0,0,0,0,0,0,0,0
39,103-1405,47.40102639,-123.6739014,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
34,103-1409,47.41044889,-123.6959531,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
467,127C0118,47.12236352,-123.3042114,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
408,127C0128,47.15070884,-123.275474,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
501,127C0044,47.10202324,-123.3126734,Culvert,Yes,WS Drop,0,0,0,0,214.697964,0,0,0,0,0,0,0,0
511,127C0046,47.09849319,-123.3141134,Culvert,Yes,Slope,67,214.697964,0,0,644.093892,0,0,0,0,0,214.697964,0,0
512,127C0047,47.09792317,-123.3114435,Culvert,Yes,WS Drop,33,0,0,0,198.851725,0,0,0,0,0,0,0,0
491,127C0051,47.10546328,-123.3085135,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
446,127C0072,47.13474357,-123.2686845,Culvert,Yes,Slope,33,203.424874,0,0,779.39712,0,0,0,0,0,203.424874,0,0
482,127C0076,47.1088634,-123.3272328,Culvert,Yes,WS Drop,33,0,0,0,170.452695,0,0,0,0,0,0,0,0
484,127C0077,47.10761338,-123.3264128,Culvert,Yes,WS Drop,0,414.983214,0,0,1373.517602,0,0,0,0,0,414.983214,0,0
481,127C0078,47.10871339,-123.3248129,Culvert,Yes,WS Drop,33,0,0,0,0,0,0,0,0,0,0,0,0
440,127C0079,47.13594383,-123.3276124,Culvert,Yes,Velocity,33,5010.205419,0,0,7356.4979,2460.28859,0,0,0,0,5010.205419,0,0
414,127C0103,47.146414,-123.3282123,Culvert,Yes,Slope,33,0,0,0,380.301009,0,0,0,0,0,0,0,0
428,127C0107,47.13889392,-123.339262,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
435,127C0108,47.13762386,-123.3285024,Culvert,Yes,Velocity,33,4814.318931,0,0,7160.611412,2264.402102,0,0,0,0,4814.318931,0,0
442,127C0112,47.13549582,-123.3281464,Culvert,Yes,Depth,67,5010.205419,0,0,7356.4979,2460.28859,0,0,0,0,5010.205419,0,0
438,127C0143,47.13738965,-123.2781141,Culvert,Yes,Slope,67,444.523804,0,0,1295.393821,0,0,0,0,0,444.523804,0,0
505,127C0156,47.09992338,-123.3602917,Culvert,Yes,Slope,33,0,0,0,196.3258,0,0,0,0,0,0,0,0
464,127C0161,47.12566337,-123.2513352,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
444,127C0164,47.13555952,-123.253036,Culvert,Yes,Slope,67,0,0,0,191.601162,0,0,0,0,0,0,0,0
411,127C0168,47.15071361,-123.2313854,Culvert,Yes,Slope,67,0,0,0,0,0,0,0,0,0,0,0,0
399,127C0174,47.15773361,-123.2182756,Culvert,Yes,Slope,67,0,0,0,0,0,0,0,0,0,0,0,0
398,127C0176,47.15851365,-123.2217455,Culvert,Yes,Velocity,67,0,0,0,170.814696,0,0,0,0,0,0,0,0
441,127C0178,47.13604384,-123.3312623,Culvert,Yes,WS Drop,33,757.217988,0,0,970.29,0,0,0,0,0,757.217988,0,0
437,127C0181,47.13628388,-123.339432,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
436,127C0182,47.13656389,-123.339472,Culvert,Yes,Slope,67,0,0,0,0,0,0,0,0,0,0,0,0
433,127C0184,47.13687389,-123.339512,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
431,127C0186,47.1372139,-123.339782,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
475,127C0214,47.11275329,-123.2819243,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
478,127C0217,47.11123323,-123.2717347,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
495,1270,47.09966,-123.47178,Culvert,Yes,Slope,67,4895.400611,0,0,6335.891005,3866.478901,597.908793,0,0,0,4895.400611,0,0
493,127000,47.1008,-123.4707,Culvert,Yes,Velocity,67,4696.09768,0,0,6136.588074,3667.17597,398.605862,0,0,0,4696.09768,0,0
430,1.27E+21,47.13450938,-123.4714464,Culvert,Yes,Slope,33,1360.523425,0,0,2773.119925,0,0,0,0,0,1360.523425,0,0
377,1.27E+44,47.16316475,-123.4402683,Culvert,Yes,Depth,33,0,0,0,194.961557,0,0,0,0,0,0,0,0
507,1.27E+88,47.09794358,-123.4235394,Culvert,Yes,Slope,33,0,0,0,981.739534,0,0,0,0,0,0,0,0
508,1.27E+90,47.09667356,-123.4249393,Culvert,Yes,WS Drop,0,0,0,0,981.739534,0,0,0,0,0,0,0,0
469,1.27E+103,47.1187738,-123.3918003,Culvert,Yes,Slope,67,0,0,0,1448.514144,0,0,0,0,0,0,0,0
454,1.27E+105,47.12682402,-123.4139795,Culvert,Yes,WS Drop,67,197.890637,0,0,1385.234459,0,0,0,0,0,197.890637,0,0
420,1.27E+110,47.14193418,-123.3897902,Culvert,Yes,WS Drop,67,0,0,0,0,0,0,0,0,0,0,0,0
417,1.27E+111,47.14184417,-123.3889202,Culvert,Yes,Slope,67,0,0,0,238.985987,0,0,0,0,0,0,0,0
460,1.27E+115,47.12479387,-123.3829206,Culvert,Yes,Slope,67,0,0,0,620.791776,0,0,0,0,0,0,0,0
418,1.27E+120,47.14182417,-123.3893802,Culvert,Yes,WS Drop,33,0,0,0,238.985987,0,0,0,0,0,0,0,0
416,1.27E+124,47.14295411,-123.3693309,Culvert,Yes,Slope,33,0,0,0,344.371006,0,0,0,0,0,0,0,0
