FID,ID,SiteID,Class,Type,VD,HD,PPD,Waypoint,Accuracy,Latitude,Longitude,Complete,comments,Picture,Complete_D
0, ,Coho_survey_Reaches-075,Transient,Falls,1.500000000000000,0.500000000000000,0.300000000000000,312.000000000000000,11.000000000000000,46.813319999999997,-123.373445000000000,0, , ,No
1, ,Coho_survey_Reaches-075,Permenant,"Falls, Cascade",1.800000000000000,3.000000000000000,0.000000000000000,312.000000000000000,11.000000000000000,46.813319999999997,-123.373445000000000,0,"on LB side, other possible route around", ,No
2, ,Coho_survey_Reaches-075,Transient,Debris Jam,0.000000000000000,0.000000000000000,0.000000000000000,308.000000000000000,8.000000000000000,46.814470999999998,-123.370439000000000,0, , ,No
3, ,Coho_survey_Reaches-079,Transient,Falls,0.500000000000000,0.400000000000000,0.400000000000000,294.000000000000000,12.000000000000000,47.075637999999998,-123.570043000000000,0, , ,No
4, ,Coho_survey_Reaches-079,Transient,Debris Jam,1.200000000000000,1.800000000000000,0.500000000000000,298.000000000000000,7.000000000000000,47.078690999999999,-123.568224000000000,0, , ,No
5, ,Coho_survey_Reaches-079,Transient,LWD,0.600000000000000,0.800000000000000,0.600000000000000,300.000000000000000,10.000000000000000,47.080677000000001,-123.567527000000000,0, , ,No
6, ,Coho_survey_Reaches-079,Transient,Debris Jam,0.600000000000000,1.500000000000000,0.500000000000000,296.000000000000000,10.000000000000000,47.077370999999999,-123.569042000000000,0, , ,No
7, ,Coho_survey_Reaches-081,Permenant,Cascade,2.000000000000000,8.000000000000000,0.150000000000000,242.000000000000000,11.000000000000000,46.730105999999999,-122.722212000000000,0, , ,No
8, ,Coho_survey_Reaches-081,Permenant,Cascade,0.000000000000000,15.000000000000000,0.100000000000000,243.000000000000000,19.000000000000000,46.729899000000003,-122.721682000000000,0, , ,No
9, ,Coho_survey_Reaches-090,Transient,LWD,2.200000000000000,1.200000000000000,0.300000000000000,389.000000000000000,16.000000000000000,47.430309000000001,-123.648533000000000,-1, , ,Yes
10, ,Coho_survey_Reaches-090,Permenant,"Falls, Chute",2.100000000000000,5.500000000000000,0.200000000000000,390.000000000000000,17.000000000000000,47.433903000000001,-123.652638999999990,-1, , ,Yes
11, ,Coho_survey_Reaches-091,Permenant,"Falls, Cascade",3.000000000000000,6.000000000000000,0.300000000000000,321.000000000000000,7.000000000000000,46.731135000000002,-123.299701000000000,0, , ,No
12, ,Coho_survey_Reaches-091,Permenant,"Falls, Cascade",1.500000000000000,4.000000000000000,0.200000000000000,322.000000000000000,11.000000000000000,46.731152000000002,-123.299718000000000,0, , ,No
13, ,Coho_survey_Reaches-091,Permenant,Cascade,4.000000000000000,10.000000000000000,0.300000000000000,323.000000000000000,14.000000000000000,46.731901999999998,-123.299730999999990,0, , ,No
