Mean,UpperPI,LowerPI,PDT,Species,BlockedHab,CulCount
8090.352223,9104.091408,6713.202445,0.1,Coho,,
7420.737745,8636.528986,5944.320383,0.15,Coho,,
6858.708944,8212.560135,5361.428093,0.2,Coho,,
6357.940163,7823.682342,4914.341394,0.25,Coho,1832.4,1062
5925.19602,7456.849756,4513.355979,0.3,Coho,,
5542.033484,7074.554757,4170.402122,0.35,Coho,,
5183.14021,6696.55611,3867.022493,0.4,Coho,,
4847.636212,6347.700506,3591.88147,0.45,Coho,,
4531.934797,5985.035582,3338.981468,0.5,Coho,1097.7,711
4239.930321,5634.813134,3089.676474,0.55,Coho,,
3942.804703,5279.749236,2868.094415,0.6,Coho,,
3657.625428,4942.03564,2636.419452,0.65,Coho,,
3369.622546,4595.427415,2422.993957,0.7,Coho,,
3061.554841,4224.747717,2222.979404,0.75,Coho,532.3,348
2772.635183,3800.867729,2009.71653,0.8,Coho,,
2441.080751,3371.934476,1773.88836,0.85,Coho,,
2095.278203,2852.224425,1513.559173,0.9,Coho,,
3525.775217,4134.328431,3047.472563,0.1,Steelhead,,
3235.079323,3782.244682,2770.073885,0.15,Steelhead,,
3014.477922,3522.867853,2594.83079,0.2,Steelhead,,
2836.784041,3330.700219,2447.606055,0.25,Steelhead,496.2,301
2698.865109,3165.537823,2322.401701,0.3,Steelhead,,
2589.671223,3019.897669,2222.798539,0.35,Steelhead,,
2485.450975,2881.852011,2125.097756,0.4,Steelhead,,
2376.673592,2773.484736,2040.091953,0.45,Steelhead,,
2290.185173,2670.303906,1958.411207,0.5,Steelhead,311,179
2205.167965,2573.007042,1872.194027,0.55,Steelhead,,
2121.074303,2474.660706,1789.289907,0.6,Steelhead,,
2029.222067,2374.766088,1691.518329,0.65,Steelhead,,
1928.255761,2274.545485,1606.644333,0.7,Steelhead,,
1828.758433,2173.102113,1508.515827,0.75,Steelhead,186.1,110
1708.86168,2047.136122,1403.030473,0.8,Steelhead,,
1573.145244,1897.371839,1316.954883,0.85,Steelhead,,
1396.987128,1716.657374,1157.902003,0.9,Steelhead,,
2511.96633,2757.028703,2314.698907,0.1,Chum,,
2269.81974,2480.101886,2101.06249,0.15,Chum,,
2100.902487,2287.663091,1945.726541,0.2,Chum,,
1975.29297,2132.454448,1827.683818,0.25,Chum,243.7,184
1863.153022,2018.984111,1697.791783,0.3,Chum,,
1754.5246,1908.287105,1604.494607,0.35,Chum,,
1654.663945,1814.013026,1522.123274,0.4,Chum,,
1567.874082,1708.210979,1444.049068,0.45,Chum,,
1491.701759,1627.273898,1372.202898,0.5,Chum,121,76
1425.902175,1544.313986,1304.096454,0.55,Chum,,
1343.344102,1470.546867,1242.762201,0.6,Chum,,
1272.563903,1388.413669,1189.834069,0.65,Chum,,
1216.01595,1308.4339,1121.913314,0.7,Chum,,
1149.888475,1232.878832,1034.242888,0.75,Chum,44.4,30
1054.608977,1166.071467,931.9049837,0.8,Chum,,
938.763058,1053.827071,858.109592,0.85,Chum,,
828.8138437,914.6310561,692.6805767,0.9,Chum,,
